year,region,round,t1Name,t1Rank,t1Score,t1Win,t2Name,t2Rank,t2Score,t2Win
2010,"Final Four - Lucas Oil Stadium, Indianapolis, Indiana",round5,West Virginia,E2,57,False,Duke,S1,78,True
2011,"East Regional – Newark, New Jersey",round1,Ohio State,1,75,True,UTSA,16,46,False
2011,"East Regional – Newark, New Jersey",round2,Ohio State,1,98,True,George Mason,8,66,False
2011,"East Regional – Newark, New Jersey",round1,George Mason,8,61,True,Villanova,9,57,False
2011,"East Regional – Newark, New Jersey",round3,Ohio State,1,60,False,Kentucky,4,62,True
2011,"East Regional – Newark, New Jersey",round1,West Virginia,5,84,True,Clemson,12,76,False
2011,"East Regional – Newark, New Jersey",round2,West Virginia,5,63,False,Kentucky,4,71,True
2011,"East Regional – Newark, New Jersey",round1,Kentucky,4,59,True,Princeton,13,57,False
2011,"East Regional – Newark, New Jersey",round4,Kentucky,4,76,True,North Carolina,2,69,False
2011,"East Regional – Newark, New Jersey",round1,Xavier,6,55,False,Marquette,11,66,True
2011,"East Regional – Newark, New Jersey",round2,Marquette,11,66,True,Syracuse,3,62,False
2011,"East Regional – Newark, New Jersey",round1,Syracuse,3,77,True,Indiana State,14,60,False
2011,"East Regional – Newark, New Jersey",round3,Marquette,11,63,False,North Carolina,2,81,True
2011,"East Regional – Newark, New Jersey",round1,Washington,7,68,True,Georgia,10,65,False
2011,"East Regional – Newark, New Jersey",round2,Washington,7,83,False,North Carolina,2,86,True
2011,"East Regional – Newark, New Jersey",round1,North Carolina,2,102,True,Long Island,15,87,False
2011,"West Regional – Anaheim, California",round1,Duke,1,87,True,Hampton,16,45,False
2011,"West Regional – Anaheim, California",round2,Duke,1,73,True,Michigan,8,71,False
2011,"West Regional – Anaheim, California",round1,Michigan,8,75,True,Tennessee,9,45,False
2011,"West Regional – Anaheim, California",round3,Duke,1,77,False,Arizona,5,93,True
2011,"West Regional – Anaheim, California",round1,Arizona,5,77,True,Memphis,12,75,False
2011,"West Regional – Anaheim, California",round2,Arizona,5,70,True,Texas,4,69,False
2011,"West Regional – Anaheim, California",round1,Texas,4,85,True,Oakland,13,81,False
2011,"West Regional – Anaheim, California",round4,Arizona,5,63,False,Connecticut,3,65,True
